_id,No.,Date,Organization,Number_Passenger,Note
5505,5505,16/8/2024,SRT,"80,340",
5506,5506,16/8/2024,ARL,"81,142",
5507,5507,16/8/2024,Red Line,"39,689",
5508,5508,16/8/2024,MRT Blue Line,"540,117",
5509,5509,16/8/2024,MRT Purple Line,"86,868",
5510,5510,16/8/2024,MRT Yellow Line,"46,362",
5511,5511,16/8/2024,MRT Pink Line,"70,297",
5512,5512,16/8/2024,BTS Green Line,"903,966",
5513,5513,16/8/2024,BTS Gold Line,"10,900",
5514,5514,17/8/2024,SRT,"68,675",
5515,5515,17/8/2024,ARL,"58,076",
5516,5516,17/8/2024,Red Line,"26,625",
5517,5517,17/8/2024,MRT Blue Line,"347,175",
5518,5518,17/8/2024,MRT Purple Line,"49,260",
5519,5519,17/8/2024,MRT Yellow Line,"32,912",
5520,5520,17/8/2024,MRT Pink Line,"46,942",
5521,5521,17/8/2024,BTS Green Line,"646,253",
5522,5522,17/8/2024,BTS Gold Line,"11,075",
5523,5523,18/8/2024,SRT,"76,509",
5524,5524,18/8/2024,ARL,"50,568",
5525,5525,18/8/2024,Red Line,"24,564",
5526,5526,18/8/2024,MRT Blue Line,"284,779",
5527,5527,18/8/2024,MRT Purple Line,"40,385",
5528,5528,18/8/2024,MRT Yellow Line,"28,313",
5529,5529,18/8/2024,MRT Pink Line,"41,775",
5530,5530,18/8/2024,BTS Green Line,"534,567",
5531,5531,18/8/2024,BTS Gold Line,"7,669",
5532,5532,19/8/2024,SRT,"72,547",
5533,5533,19/8/2024,ARL,"75,580",
5534,5534,19/8/2024,Red Line,"37,910",
5535,5535,19/8/2024,MRT Blue Line,"495,019",
5536,5536,19/8/2024,MRT Purple Line,"84,142",
5537,5537,19/8/2024,MRT Yellow Line,"43,575",
5538,5538,19/8/2024,MRT Pink Line,"64,893",
5539,5539,19/8/2024,BTS Green Line,"800,743",
5540,5540,19/8/2024,BTS Gold Line,"7,402",
5541,5541,20/8/2024,SRT,"67,343",
5542,5542,20/8/2024,ARL,"74,677",
5543,5543,20/8/2024,Red Line,"37,636",
5544,5544,20/8/2024,MRT Blue Line,"515,616",
5545,5545,20/8/2024,MRT Purple Line,"86,110",
5546,5546,20/8/2024,MRT Yellow Line,"44,460",
5547,5547,20/8/2024,MRT Pink Line,"66,587",
5548,5548,20/8/2024,BTS Green Line,"825,624",
5549,5549,20/8/2024,BTS Gold Line,"6,733",
5550,5550,21/8/2024,SRT,"66,785",
5551,5551,21/8/2024,ARL,"74,486",
5552,5552,21/8/2024,Red Line,"36,687",
5553,5553,21/8/2024,MRT Blue Line,"515,040",
5554,5554,21/8/2024,MRT Purple Line,"85,955",
5555,5555,21/8/2024,MRT Yellow Line,"43,700",
5556,5556,21/8/2024,MRT Pink Line,"65,003",
5557,5557,21/8/2024,BTS Green Line,"824,527",
5558,5558,21/8/2024,BTS Gold Line,"7,383",
5559,5559,22/8/2024,SRT,"67,360",
5560,5560,22/8/2024,ARL,"76,192",
5561,5561,22/8/2024,Red Line,"37,018",
5562,5562,22/8/2024,MRT Blue Line,"518,950",
5563,5563,22/8/2024,MRT Purple Line,"85,540",
5564,5564,22/8/2024,MRT Yellow Line,"44,994",
5565,5565,22/8/2024,MRT Pink Line,"63,236",
5566,5566,22/8/2024,BTS Green Line,"830,544",
5567,5567,22/8/2024,BTS Gold Line,"8,042",
5568,5568,23/8/2024,SRT,"81,921",
5569,5569,23/8/2024,ARL,"80,284",
5570,5570,23/8/2024,Red Line,"40,457",
5571,5571,23/8/2024,MRT Blue Line,"534,342",
5572,5572,23/8/2024,MRT Purple Line,"87,259",
5573,5573,23/8/2024,MRT Yellow Line,"47,242",
5574,5574,23/8/2024,MRT Pink Line,"67,570",
5575,5575,23/8/2024,BTS Green Line,"888,300",
5576,5576,23/8/2024,BTS Gold Line,"8,265",
5577,5577,24/8/2024,SRT,"70,458",
5578,5578,24/8/2024,ARL,"56,465",
5579,5579,24/8/2024,Red Line,"24,770",
5580,5580,24/8/2024,MRT Blue Line,"324,692",
5581,5581,24/8/2024,MRT Purple Line,"48,203",
5582,5582,24/8/2024,MRT Yellow Line,"32,505",
5583,5583,24/8/2024,MRT Pink Line,"43,382",
5584,5584,24/8/2024,BTS Green Line,"622,388",
5585,5585,24/8/2024,BTS Gold Line,"11,503",
5586,5586,25/8/2024,SRT,"79,016",
5587,5587,25/8/2024,ARL,"52,394",
5588,5588,25/8/2024,Red Line,"26,054",
5589,5589,25/8/2024,MRT Blue Line,"294,551",
5590,5590,25/8/2024,MRT Purple Line,"45,621",
5591,5591,25/8/2024,MRT Yellow Line,"27,850",
5592,5592,25/8/2024,MRT Pink Line,"42,696",
5593,5593,25/8/2024,BTS Green Line,"553,476",
5594,5594,25/8/2024,BTS Gold Line,"8,125",
5595,5595,26/8/2024,SRT,"71,390",
5596,5596,26/8/2024,ARL,"74,451",
5597,5597,26/8/2024,Red Line,"38,022",
5598,5598,26/8/2024,MRT Blue Line,"490,472",
5599,5599,26/8/2024,MRT Purple Line,"83,640",
5600,5600,26/8/2024,MRT Yellow Line,"43,047",
5601,5601,26/8/2024,MRT Pink Line,"64,330",
5602,5602,26/8/2024,BTS Green Line,"819,020",
5603,5603,26/8/2024,BTS Gold Line,"6,998",
5604,5604,27/8/2024,SRT,"65,198",
5605,5605,27/8/2024,ARL,"75,698",
5606,5606,27/8/2024,Red Line,"36,910",
5607,5607,27/8/2024,MRT Blue Line,"504,792",
5608,5608,27/8/2024,MRT Purple Line,"85,364",
5609,5609,27/8/2024,MRT Yellow Line,"42,767",
5610,5610,27/8/2024,MRT Pink Line,"64,970",
5611,5611,27/8/2024,BTS Green Line,"845,691",
5612,5612,27/8/2024,BTS Gold Line,"6,529",
5613,5613,28/8/2024,SRT,"62,745",
5614,5614,28/8/2024,ARL,"73,626",
5615,5615,28/8/2024,Red Line,"36,699",
5616,5616,28/8/2024,MRT Blue Line,"502,200",
5617,5617,28/8/2024,MRT Purple Line,"84,549",
5618,5618,28/8/2024,MRT Yellow Line,"44,723",
5619,5619,28/8/2024,MRT Pink Line,"65,859",
5620,5620,28/8/2024,BTS Green Line,"840,998",
5621,5621,28/8/2024,BTS Gold Line,"6,391",
5622,5622,29/8/2024,SRT,"66,405",
5623,5623,29/8/2024,ARL,"73,855",
5624,5624,29/8/2024,Red Line,"37,065",
5625,5625,29/8/2024,MRT Blue Line,"496,695",
5626,5626,29/8/2024,MRT Purple Line,"84,514",
5627,5627,29/8/2024,MRT Yellow Line,"44,100",
5628,5628,29/8/2024,MRT Pink Line,"64,589",
5629,5629,29/8/2024,BTS Green Line,"837,165",
5630,5630,29/8/2024,BTS Gold Line,"6,358",
5631,5631,30/8/2024,SRT,"85,970",
5632,5632,30/8/2024,ARL,"79,018",
5633,5633,30/8/2024,Red Line,"42,678",
5634,5634,30/8/2024,MRT Blue Line,"523,504",
5635,5635,30/8/2024,MRT Purple Line,"87,633",
5636,5636,30/8/2024,MRT Yellow Line,"48,035",
5637,5637,30/8/2024,MRT Pink Line,"71,669",
5638,5638,30/8/2024,BTS Green Line,"918,113",
5639,5639,30/8/2024,BTS Gold Line,"8,181",
5640,5640,31/8/2024,SRT,"74,128",
5641,5641,31/8/2024,ARL,"58,756",
5642,5642,31/8/2024,Red Line,"29,884",
5643,5643,31/8/2024,MRT Blue Line,"354,788",
5644,5644,31/8/2024,MRT Purple Line,"52,053",
5645,5645,31/8/2024,MRT Yellow Line,"35,802",
5646,5646,31/8/2024,MRT Pink Line,"52,578",
5647,5647,31/8/2024,BTS Green Line,"677,559",
5648,5648,31/8/2024,BTS Gold Line,"8,963",
5649,5649,1/9/2024,SRT,"81,339",
5650,5650,1/9/2024,ARL,"53,077",
5651,5651,1/9/2024,Red Line,"25,256",
5652,5652,1/9/2024,MRT Blue Line,"297,641",
5653,5653,1/9/2024,MRT Purple Line,"42,284",
5654,5654,1/9/2024,MRT Yellow Line,"32,418",
5655,5655,1/9/2024,MRT Pink Line,"42,823",
5656,5656,1/9/2024,BTS Green Line,"571,958",
5657,5657,1/9/2024,BTS Gold Line,"9,507",
5658,5658,2/9/2024,SRT,"73,552",
5659,5659,2/9/2024,ARL,"75,521",
5660,5660,2/9/2024,Red Line,"38,618",
5661,5661,2/9/2024,MRT Blue Line,"495,700",
5662,5662,2/9/2024,MRT Purple Line,"85,518",
5663,5663,2/9/2024,MRT Yellow Line,"46,656",
5664,5664,2/9/2024,MRT Pink Line,"67,627",
5665,5665,2/9/2024,BTS Green Line,"829,672",
5666,5666,2/9/2024,BTS Gold Line,"7,399",
5667,5667,3/9/2024,SRT,"64,466",
5668,5668,3/9/2024,ARL,"75,236",
5669,5669,3/9/2024,Red Line,"37,328",
5670,5670,3/9/2024,MRT Blue Line,"507,545",
5671,5671,3/9/2024,MRT Purple Line,"87,630",
5672,5672,3/9/2024,MRT Yellow Line,"48,979",
5673,5673,3/9/2024,MRT Pink Line,"68,100",
5674,5674,3/9/2024,BTS Green Line,"840,860",
5675,5675,3/9/2024,BTS Gold Line,"6,475",
5676,5676,4/9/2024,SRT,"61,459",
5677,5677,4/9/2024,ARL,"74,777",
5678,5678,4/9/2024,Red Line,"37,027",
5679,5679,4/9/2024,MRT Blue Line,"508,147",
5680,5680,4/9/2024,MRT Purple Line,"87,104",
5681,5681,4/9/2024,MRT Yellow Line,"48,317",
5682,5682,4/9/2024,MRT Pink Line,"68,434",
5683,5683,4/9/2024,BTS Green Line,"846,351",
5684,5684,4/9/2024,BTS Gold Line,"5,988",
5685,5685,5/9/2024,SRT,"67,400",
5686,5686,5/9/2024,ARL,"74,098",
5687,5687,5/9/2024,Red Line,"37,601",
5688,5688,5/9/2024,MRT Blue Line,"507,633",
5689,5689,5/9/2024,MRT Purple Line,"87,229",
5690,5690,5/9/2024,MRT Yellow Line,"46,488",
5691,5691,5/9/2024,MRT Pink Line,"67,560",
5692,5692,5/9/2024,BTS Green Line,"838,771",
5693,5693,5/9/2024,BTS Gold Line,"6,313",
5694,5694,6/9/2024,SRT,"84,346",
5695,5695,6/9/2024,ARL,"78,111",
5696,5696,6/9/2024,Red Line,"42,084",
5697,5697,6/9/2024,MRT Blue Line,"523,348",
5698,5698,6/9/2024,MRT Purple Line,"87,856",
5699,5699,6/9/2024,MRT Yellow Line,"49,230",
5700,5700,6/9/2024,MRT Pink Line,"70,626",
5701,5701,6/9/2024,BTS Green Line,"885,000",
5702,5702,6/9/2024,BTS Gold Line,"7,533",
5703,5703,7/9/2024,SRT,"75,914",
5704,5704,7/9/2024,ARL,"55,336",
5705,5705,7/9/2024,Red Line,"26,822",
5706,5706,7/9/2024,MRT Blue Line,"339,729",
5707,5707,7/9/2024,MRT Purple Line,"50,566",
5708,5708,7/9/2024,MRT Yellow Line,"34,899",
5709,5709,7/9/2024,MRT Pink Line,"45,570",
5710,5710,7/9/2024,BTS Green Line,"628,404",
5711,5711,7/9/2024,BTS Gold Line,"12,798",
5712,5712,8/9/2024,SRT,"81,595",
5713,5713,8/9/2024,ARL,"49,673",
5714,5714,8/9/2024,Red Line,"23,998",
5715,5715,8/9/2024,MRT Blue Line,"270,968",
5716,5716,8/9/2024,MRT Purple Line,"40,636",
5717,5717,8/9/2024,MRT Yellow Line,"29,540",
5718,5718,8/9/2024,MRT Pink Line,"37,900",
5719,5719,8/9/2024,BTS Green Line,"515,109",
5720,5720,8/9/2024,BTS Gold Line,"6,364",
5721,5721,9/9/2024,SRT,"69,048",
5722,5722,9/9/2024,ARL,"72,282",
5723,5723,9/9/2024,Red Line,"38,063",
5724,5724,9/9/2024,MRT Blue Line,"486,152",
5725,5725,9/9/2024,MRT Purple Line,"83,587",
5726,5726,9/9/2024,MRT Yellow Line,"45,014",
5727,5727,9/9/2024,MRT Pink Line,"64,932",
5728,5728,9/9/2024,BTS Green Line,"796,095",
5729,5729,9/9/2024,BTS Gold Line,"5,578",
5730,5730,10/9/2024,SRT,"63,207",
5731,5731,10/9/2024,ARL,"72,201",
5732,5732,10/9/2024,Red Line,"37,627",
5733,5733,10/9/2024,MRT Blue Line,"501,321",
5734,5734,10/9/2024,MRT Purple Line,"85,669",
5735,5735,10/9/2024,MRT Yellow Line,"46,119",
5736,5736,10/9/2024,MRT Pink Line,"62,784",
5737,5737,10/9/2024,BTS Green Line,"824,077",
5738,5738,10/9/2024,BTS Gold Line,"5,532",
5739,5739,11/9/2024,SRT,"63,461",
5740,5740,11/9/2024,ARL,"71,463",
5741,5741,11/9/2024,Red Line,"36,385",
5742,5742,11/9/2024,MRT Blue Line,"505,492",
5743,5743,11/9/2024,MRT Purple Line,"86,034",
5744,5744,11/9/2024,MRT Yellow Line,"45,367",
5745,5745,11/9/2024,MRT Pink Line,"59,924",
5746,5746,11/9/2024,BTS Green Line,"815,467",
5747,5747,11/9/2024,BTS Gold Line,"6,274",
5748,5748,12/9/2024,SRT,"66,366",
5749,5749,12/9/2024,ARL,"73,007",
5750,5750,12/9/2024,Red Line,"37,092",
5751,5751,12/9/2024,MRT Blue Line,"499,754",
5752,5752,12/9/2024,MRT Purple Line,"84,394",
5753,5753,12/9/2024,MRT Yellow Line,"45,366",
5754,5754,12/9/2024,MRT Pink Line,"63,515",
5755,5755,12/9/2024,BTS Green Line,"815,673",
5756,5756,12/9/2024,BTS Gold Line,"5,917",
5757,5757,13/9/2024,SRT,"81,677",
5758,5758,13/9/2024,ARL,"75,000",
5759,5759,13/9/2024,Red Line,"39,892",
5760,5760,13/9/2024,MRT Blue Line,"513,241",
5761,5761,13/9/2024,MRT Purple Line,"86,387",
5762,5762,13/9/2024,MRT Yellow Line,"47,411",
5763,5763,13/9/2024,MRT Pink Line,"68,635",
5764,5764,13/9/2024,BTS Green Line,"849,005",
5765,5765,13/9/2024,BTS Gold Line,"7,687",
5766,5766,14/9/2024,SRT,"69,031",
5767,5767,14/9/2024,ARL,"56,015",
5768,5768,14/9/2024,Red Line,"25,681",
5769,5769,14/9/2024,MRT Blue Line,"323,647",
5770,5770,14/9/2024,MRT Purple Line,"48,171",
5771,5771,14/9/2024,MRT Yellow Line,"32,664",
5772,5772,14/9/2024,MRT Pink Line,"43,801",
5773,5773,14/9/2024,BTS Green Line,"611,671",
5774,5774,14/9/2024,BTS Gold Line,"9,103",
5775,5775,15/9/2024,SRT,"75,577",
5776,5776,15/9/2024,ARL,"49,007",
5777,5777,15/9/2024,Red Line,"22,679",
5778,5778,15/9/2024,MRT Blue Line,"263,721",
5779,5779,15/9/2024,MRT Purple Line,"38,811",
5780,5780,15/9/2024,MRT Yellow Line,"27,543",
5781,5781,15/9/2024,MRT Pink Line,"38,167",
5782,5782,15/9/2024,BTS Green Line,"510,860",
5783,5783,15/9/2024,BTS Gold Line,"7,330",
5784,5784,16/9/2024,SRT,"70,809",
5785,5785,16/9/2024,ARL,"77,045",
5786,5786,16/9/2024,Red Line,"37,126",
5787,5787,16/9/2024,MRT Blue Line,"480,960",
5788,5788,16/9/2024,MRT Purple Line,"82,714",
5789,5789,16/9/2024,MRT Yellow Line,"44,643",
5790,5790,16/9/2024,MRT Pink Line,"65,412",
5791,5791,16/9/2024,BTS Green Line,"812,343",
5792,5792,16/9/2024,BTS Gold Line,"7,660",
5793,5793,17/9/2024,SRT,"64,129",
5794,5794,17/9/2024,ARL,"76,014",
5795,5795,17/9/2024,Red Line,"36,468",
5796,5796,17/9/2024,MRT Blue Line,"496,859",
5797,5797,17/9/2024,MRT Purple Line,"84,446",
5798,5798,17/9/2024,MRT Yellow Line,"44,387",
5799,5799,17/9/2024,MRT Pink Line,"65,610",
5800,5800,17/9/2024,BTS Green Line,"833,487",
5801,5801,17/9/2024,BTS Gold Line,"6,235",
5802,5802,18/9/2024,SRT,"64,955",
5803,5803,18/9/2024,ARL,"73,412",
5804,5804,18/9/2024,Red Line,"36,466",
5805,5805,18/9/2024,MRT Blue Line,"494,994",
5806,5806,18/9/2024,MRT Purple Line,"85,130",
5807,5807,18/9/2024,MRT Yellow Line,"47,063",
5808,5808,18/9/2024,MRT Pink Line,"67,957",
5809,5809,18/9/2024,BTS Green Line,"824,876",
5810,5810,18/9/2024,BTS Gold Line,"6,743",
5811,5811,19/9/2024,SRT,"66,291",
5812,5812,19/9/2024,ARL,"73,226",
5813,5813,19/9/2024,Red Line,"36,777",
5814,5814,19/9/2024,MRT Blue Line,"498,345",
5815,5815,19/9/2024,MRT Purple Line,"83,731",
5816,5816,19/9/2024,MRT Yellow Line,"45,409",
5817,5817,19/9/2024,MRT Pink Line,"64,792",
5818,5818,19/9/2024,BTS Green Line,"820,587",
5819,5819,19/9/2024,BTS Gold Line,"7,325",
5820,5820,20/9/2024,SRT,"80,804",
5821,5821,20/9/2024,ARL,"76,144",
5822,5822,20/9/2024,Red Line,"40,993",
5823,5823,20/9/2024,MRT Blue Line,"513,561",
5824,5824,20/9/2024,MRT Purple Line,"87,175",
5825,5825,20/9/2024,MRT Yellow Line,"47,615",
5826,5826,20/9/2024,MRT Pink Line,"71,902",
5827,5827,20/9/2024,BTS Green Line,"863,586",
5828,5828,20/9/2024,BTS Gold Line,"8,567",
5829,5829,21/9/2024,SRT,"67,414",
5830,5830,21/9/2024,ARL,"54,252",
5831,5831,21/9/2024,Red Line,"24,075",
5832,5832,21/9/2024,MRT Blue Line,"307,394",
5833,5833,21/9/2024,MRT Purple Line,"45,202",
5834,5834,21/9/2024,MRT Yellow Line,"31,373",
5835,5835,21/9/2024,MRT Pink Line,"41,831",
5836,5836,21/9/2024,BTS Green Line,"584,272",
5837,5837,21/9/2024,BTS Gold Line,"11,565",
5838,5838,22/9/2024,SRT,"73,894",
5839,5839,22/9/2024,ARL,"47,699",
5840,5840,22/9/2024,Red Line,"22,809",
5841,5841,22/9/2024,MRT Blue Line,"261,130",
5842,5842,22/9/2024,MRT Purple Line,"38,488",
5843,5843,22/9/2024,MRT Yellow Line,"29,968",
5844,5844,22/9/2024,MRT Pink Line,"38,335",
5845,5845,22/9/2024,BTS Green Line,"480,750",
5846,5846,22/9/2024,BTS Gold Line,"6,749",
5847,5847,23/9/2024,SRT,"67,536",
5848,5848,23/9/2024,ARL,"69,547",
5849,5849,23/9/2024,Red Line,"36,628",
5850,5850,23/9/2024,MRT Blue Line,"459,436",
5851,5851,23/9/2024,MRT Purple Line,"79,715",
5852,5852,23/9/2024,MRT Yellow Line,"42,832",
5853,5853,23/9/2024,MRT Pink Line,"62,369",
5854,5854,23/9/2024,BTS Green Line,"760,255",
5855,5855,23/9/2024,BTS Gold Line,"6,176",
5856,5856,24/9/2024,SRT,"58,846",
5857,5857,24/9/2024,ARL,"69,575",
5858,5858,24/9/2024,Red Line,"36,127",
5859,5859,24/9/2024,MRT Blue Line,"469,250",
5860,5860,24/9/2024,MRT Purple Line,"80,846",
5861,5861,24/9/2024,MRT Yellow Line,"43,068",
5862,5862,24/9/2024,MRT Pink Line,"62,323",
5863,5863,24/9/2024,BTS Green Line,"777,674",
5864,5864,24/9/2024,BTS Gold Line,"5,915",
5865,5865,25/9/2024,SRT,"58,613",
5866,5866,25/9/2024,ARL,"71,280",
5867,5867,25/9/2024,Red Line,"36,029",
5868,5868,25/9/2024,MRT Blue Line,"482,442",
5869,5869,25/9/2024,MRT Purple Line,"82,220",
5870,5870,25/9/2024,MRT Yellow Line,"44,160",
5871,5871,25/9/2024,MRT Pink Line,"65,019",
5872,5872,25/9/2024,BTS Green Line,"801,221",
5873,5873,25/9/2024,BTS Gold Line,"6,097",
5874,5874,26/9/2024,SRT,"64,505",
5875,5875,26/9/2024,ARL,"71,768",
5876,5876,26/9/2024,Red Line,"36,826",
5877,5877,26/9/2024,MRT Blue Line,"479,961",
5878,5878,26/9/2024,MRT Purple Line,"82,030",
5879,5879,26/9/2024,MRT Yellow Line,"45,904",
5880,5880,26/9/2024,MRT Pink Line,"64,062",
5881,5881,26/9/2024,BTS Green Line,"798,451",
5882,5882,26/9/2024,BTS Gold Line,"6,610",
5883,5883,27/9/2024,SRT,"79,947",
5884,5884,27/9/2024,ARL,"75,250",
5885,5885,27/9/2024,Red Line,"40,753",
5886,5886,27/9/2024,MRT Blue Line,"499,414",
5887,5887,27/9/2024,MRT Purple Line,"82,603",
5888,5888,27/9/2024,MRT Yellow Line,"49,270",
5889,5889,27/9/2024,MRT Pink Line,"70,376",
5890,5890,27/9/2024,BTS Green Line,"839,468",
5891,5891,27/9/2024,BTS Gold Line,"7,600",
5892,5892,28/9/2024,SRT,"74,427",
5893,5893,28/9/2024,ARL,"56,714",
5894,5894,28/9/2024,Red Line,"26,398",
5895,5895,28/9/2024,MRT Blue Line,"332,178",
5896,5896,28/9/2024,MRT Purple Line,"48,780",
5897,5897,28/9/2024,MRT Yellow Line,"32,411",
5898,5898,28/9/2024,MRT Pink Line,"45,053",
5899,5899,28/9/2024,BTS Green Line,"627,145",
5900,5900,28/9/2024,BTS Gold Line,"8,997",
5901,5901,29/9/2024,SRT,"81,257",
5902,5902,29/9/2024,ARL,"50,042",
5903,5903,29/9/2024,Red Line,"23,526",
5904,5904,29/9/2024,MRT Blue Line,"262,078",
5905,5905,29/9/2024,MRT Purple Line,"39,124",
5906,5906,29/9/2024,MRT Yellow Line,"29,255",
5907,5907,29/9/2024,MRT Pink Line,"38,076",
5908,5908,29/9/2024,BTS Green Line,"514,426",
5909,5909,29/9/2024,BTS Gold Line,"7,903",
5910,5910,30/9/2024,SRT,"76,667",
5911,5911,30/9/2024,ARL,"72,602",
5912,5912,30/9/2024,Red Line,"37,759",
5913,5913,30/9/2024,MRT Blue Line,"469,227",
5914,5914,30/9/2024,MRT Purple Line,"81,218",
5915,5915,30/9/2024,MRT Yellow Line,"46,295",
5916,5916,30/9/2024,MRT Pink Line,"65,135",
5917,5917,30/9/2024,BTS Green Line,"810,973",
5918,5918,30/9/2024,BTS Gold Line,"7,554",
5919,5919,1/10/2024,SRT,"72,276",
5920,5920,1/10/2024,ARL,"72,756",
5921,5921,1/10/2024,Red Line,"37,864",
5922,5922,1/10/2024,MRT Blue Line,"482,440",
5923,5923,1/10/2024,MRT Purple Line,"81,849",
5924,5924,1/10/2024,MRT Yellow Line,"46,524",
5925,5925,1/10/2024,MRT Pink Line,"65,249",
5926,5926,1/10/2024,BTS Green Line,"810,638",
5927,5927,1/10/2024,BTS Gold Line,"6,988",
5928,5928,2/10/2024,SRT,"68,089",
5929,5929,2/10/2024,ARL,"72,361",
5930,5930,2/10/2024,Red Line,"36,587",
5931,5931,2/10/2024,MRT Blue Line,"499,717",
5932,5932,2/10/2024,MRT Purple Line,"80,904",
5933,5933,2/10/2024,MRT Yellow Line,"45,539",
5934,5934,2/10/2024,MRT Pink Line,"64,555",
5935,5935,2/10/2024,BTS Green Line,"812,541",
5936,5936,2/10/2024,BTS Gold Line,"8,056",
5937,5937,3/10/2024,SRT,"71,951",
5938,5938,3/10/2024,ARL,"75,175",
5939,5939,3/10/2024,Red Line,"37,218",
5940,5940,3/10/2024,MRT Blue Line,"495,752",
5941,5941,3/10/2024,MRT Purple Line,"83,020",
5942,5942,3/10/2024,MRT Yellow Line,"48,690",
5943,5943,3/10/2024,MRT Pink Line,"67,410",
5944,5944,3/10/2024,BTS Green Line,"862,105",
5945,5945,3/10/2024,BTS Gold Line,"8,659",
5946,5946,4/10/2024,SRT,"80,127",
5947,5947,4/10/2024,ARL,"78,197",
5948,5948,4/10/2024,Red Line,"40,579",
5949,5949,4/10/2024,MRT Blue Line,"509,210",
5950,5950,4/10/2024,MRT Purple Line,"83,939",
5951,5951,4/10/2024,MRT Yellow Line,"49,543",
5952,5952,4/10/2024,MRT Pink Line,"69,642",
5953,5953,4/10/2024,BTS Green Line,"903,061",
5954,5954,4/10/2024,BTS Gold Line,"10,043",
5955,5955,5/10/2024,SRT,"76,248",
5956,5956,5/10/2024,ARL,"57,494",
5957,5957,5/10/2024,Red Line,"28,867",
5958,5958,5/10/2024,MRT Blue Line,"354,739",
5959,5959,5/10/2024,MRT Purple Line,"52,832",
5960,5960,5/10/2024,MRT Yellow Line,"35,916",
5961,5961,5/10/2024,MRT Pink Line,"49,607",
5962,5962,5/10/2024,BTS Green Line,"657,737",
5963,5963,5/10/2024,BTS Gold Line,"11,326",
5964,5964,6/10/2024,SRT,"83,745",
5965,5965,6/10/2024,ARL,"49,609",
5966,5966,6/10/2024,Red Line,"25,524",
5967,5967,6/10/2024,MRT Blue Line,"294,142",
5968,5968,6/10/2024,MRT Purple Line,"41,756",
5969,5969,6/10/2024,MRT Yellow Line,"31,283",
5970,5970,6/10/2024,MRT Pink Line,"42,278",
5971,5971,6/10/2024,BTS Green Line,"547,960",
5972,5972,6/10/2024,BTS Gold Line,"8,523",
5973,5973,7/10/2024,SRT,"75,741",
5974,5974,7/10/2024,ARL,"73,392",
5975,5975,7/10/2024,Red Line,"37,625",
5976,5976,7/10/2024,MRT Blue Line,"479,067",
5977,5977,7/10/2024,MRT Purple Line,"80,299",
5978,5978,7/10/2024,MRT Yellow Line,"45,152",
5979,5979,7/10/2024,MRT Pink Line,"64,671",
5980,5980,7/10/2024,BTS Green Line,"802,786",
5981,5981,7/10/2024,BTS Gold Line,"7,004",
5982,5982,8/10/2024,SRT,"69,623",
5983,5983,8/10/2024,ARL,"73,887",
5984,5984,8/10/2024,Red Line,"36,564",
5985,5985,8/10/2024,MRT Blue Line,"491,896",
5986,5986,8/10/2024,MRT Purple Line,"81,864",
5987,5987,8/10/2024,MRT Yellow Line,"45,368",
5988,5988,8/10/2024,MRT Pink Line,"65,385",
5989,5989,8/10/2024,BTS Green Line,"825,015",
5990,5990,8/10/2024,BTS Gold Line,"7,954",
5991,5991,9/10/2024,SRT,"69,783",
5992,5992,9/10/2024,ARL,"72,977",
5993,5993,9/10/2024,Red Line,"37,198",
5994,5994,9/10/2024,MRT Blue Line,"491,259",
5995,5995,9/10/2024,MRT Purple Line,"81,992",
5996,5996,9/10/2024,MRT Yellow Line,"45,008",
5997,5997,9/10/2024,MRT Pink Line,"64,509",
5998,5998,9/10/2024,BTS Green Line,"804,677",
5999,5999,9/10/2024,BTS Gold Line,"7,067",
6000,6000,10/10/2024,SRT,"80,283",
6001,6001,10/10/2024,ARL,"75,726",
6002,6002,10/10/2024,Red Line,"38,833",
6003,6003,10/10/2024,MRT Blue Line,"523,872",
6004,6004,10/10/2024,MRT Purple Line,"84,431",
6005,6005,10/10/2024,MRT Yellow Line,"47,033",
6006,6006,10/10/2024,MRT Pink Line,"67,315",
6007,6007,10/10/2024,BTS Green Line,"831,894",
6008,6008,10/10/2024,BTS Gold Line,"8,268",
6009,6009,11/10/2024,SRT,"93,586",
6010,6010,11/10/2024,ARL,"77,986",
6011,6011,11/10/2024,Red Line,"41,023",
6012,6012,11/10/2024,MRT Blue Line,"532,315",
6013,6013,11/10/2024,MRT Purple Line,"82,459",
6014,6014,11/10/2024,MRT Yellow Line,"48,450",
6015,6015,11/10/2024,MRT Pink Line,"67,639",
6016,6016,11/10/2024,BTS Green Line,"837,103",
6017,6017,11/10/2024,BTS Gold Line,"9,512",
6018,6018,12/10/2024,SRT,"92,350",
6019,6019,12/10/2024,ARL,"57,648",
6020,6020,12/10/2024,Red Line,"26,125",
6021,6021,12/10/2024,MRT Blue Line,"372,564",
6022,6022,12/10/2024,MRT Purple Line,"49,473",
6023,6023,12/10/2024,MRT Yellow Line,"34,433",
6024,6024,12/10/2024,MRT Pink Line,"44,279",
6025,6025,12/10/2024,BTS Green Line,"650,264",
6026,6026,12/10/2024,BTS Gold Line,"10,863",
6027,6027,13/10/2024,SRT,"86,226",
6028,6028,13/10/2024,ARL,"48,488",
6029,6029,13/10/2024,Red Line,"24,307",
6030,6030,13/10/2024,MRT Blue Line,"306,484",
6031,6031,13/10/2024,MRT Purple Line,"38,461",
6032,6032,13/10/2024,MRT Yellow Line,"29,375",
