_id,No.,Date,Organization,Number_Passenger,Note
233,233,3/11/2022,ARL,"60,792",
234,234,3/11/2022,Red Line,"18,826",
235,235,3/11/2022,MRT Blue Line,"378,056",
236,236,3/11/2022,MRT Purple Line,"47,054",
237,237,3/11/2022,BTS Green Line,"750,317",
238,238,3/11/2022,BTS Gold Line,"3,835",
239,239,4/11/2022,SRT,"71,514",
240,240,4/11/2022,ARL,"66,421",
241,241,4/11/2022,Red Line,"21,262",
242,242,4/11/2022,MRT Blue Line,"392,821",
243,243,4/11/2022,MRT Purple Line,"48,085",
244,244,4/11/2022,BTS Green Line,"794,655",
245,245,4/11/2022,BTS Gold Line,"4,712",
246,246,5/11/2022,SRT,"66,184",
247,247,5/11/2022,ARL,"49,510",
248,248,5/11/2022,Red Line,"14,672",
249,249,5/11/2022,MRT Blue Line,"250,985",
250,250,5/11/2022,MRT Purple Line,"29,479",
251,251,5/11/2022,BTS Green Line,"577,794",
252,252,5/11/2022,BTS Gold Line,"6,044",
253,253,6/11/2022,SRT,"69,095",
254,254,6/11/2022,ARL,"41,036",
255,255,6/11/2022,Red Line,"13,215",
256,256,6/11/2022,MRT Blue Line,"201,709",
257,257,6/11/2022,MRT Purple Line,"22,882",
258,258,6/11/2022,BTS Green Line,"473,330",
259,259,6/11/2022,BTS Gold Line,"5,330",
260,260,7/11/2022,SRT,"66,504",
261,261,7/11/2022,ARL,"59,949",
262,262,7/11/2022,Red Line,"18,620",
263,263,7/11/2022,MRT Blue Line,"373,326",
264,264,7/11/2022,MRT Purple Line,"46,412",
265,265,7/11/2022,BTS Green Line,"715,139",
266,266,7/11/2022,BTS Gold Line,"4,918",
267,267,8/11/2022,SRT,"60,188",
268,268,8/11/2022,ARL,"65,354",
269,269,8/11/2022,Red Line,"19,535",
270,270,8/11/2022,MRT Blue Line,"378,750",
271,271,8/11/2022,MRT Purple Line,"47,367",
272,272,8/11/2022,BTS Green Line,"878,761",
273,273,8/11/2022,BTS Gold Line,"16,402",
274,274,9/11/2022,SRT,"62,497",
275,275,9/11/2022,ARL,"62,247",
276,276,9/11/2022,Red Line,"18,577",
277,277,9/11/2022,MRT Blue Line,"379,311",
278,278,9/11/2022,MRT Purple Line,"47,731",
279,279,9/11/2022,BTS Green Line,"743,769",
280,280,9/11/2022,BTS Gold Line,"4,197",
281,281,10/11/2022,SRT,"64,463",
282,282,10/11/2022,ARL,"62,069",
283,283,10/11/2022,Red Line,"18,325",
284,284,10/11/2022,MRT Blue Line,"368,961",
285,285,10/11/2022,MRT Purple Line,"45,648",
286,286,10/11/2022,BTS Green Line,"740,725",
287,287,10/11/2022,BTS Gold Line,"4,155",
288,288,11/11/2022,SRT,"72,988",
289,289,11/11/2022,ARL,"65,276",
290,290,11/11/2022,Red Line,"21,329",
291,291,11/11/2022,MRT Blue Line,"395,533",
292,292,11/11/2022,MRT Purple Line,"47,683",
293,293,11/11/2022,BTS Green Line,"791,937",
294,294,11/11/2022,BTS Gold Line,"5,160",
295,295,12/11/2022,SRT,"68,381",
296,296,12/11/2022,ARL,"56,807",
297,297,12/11/2022,Red Line,"15,483",
298,298,12/11/2022,MRT Blue Line,"294,380",
299,299,12/11/2022,MRT Purple Line,"28,524",
300,300,12/11/2022,BTS Green Line,"619,880",
301,301,12/11/2022,BTS Gold Line,"7,756",
302,302,13/11/2022,SRT,"70,297",
303,303,13/11/2022,ARL,"45,140",
304,304,13/11/2022,Red Line,"13,043",
305,305,13/11/2022,MRT Blue Line,"207,770",
306,306,13/11/2022,MRT Purple Line,"22,211",
307,307,13/11/2022,BTS Green Line,"497,878",
308,308,13/11/2022,BTS Gold Line,"4,999",
309,309,14/11/2022,SRT,"63,867",
310,310,14/11/2022,ARL,"61,428",
311,311,14/11/2022,Red Line,"19,557",
312,312,14/11/2022,MRT Blue Line,"360,583",
313,313,14/11/2022,MRT Purple Line,"45,944",
314,314,14/11/2022,BTS Green Line,"716,183",
315,315,14/11/2022,BTS Gold Line,"4,297",
316,316,15/11/2022,SRT,"61,436",
317,317,15/11/2022,ARL,"62,415",
318,318,15/11/2022,Red Line,"19,979",
319,319,15/11/2022,MRT Blue Line,"358,490",
320,320,15/11/2022,MRT Purple Line,"45,618",
321,321,15/11/2022,BTS Green Line,"737,235",
322,322,15/11/2022,BTS Gold Line,"4,102",
323,323,16/11/2022,SRT,"58,444",
324,324,16/11/2022,ARL,"52,383",
325,325,16/11/2022,Red Line,"19,142",
326,326,16/11/2022,MRT Blue Line,"154,312",
327,327,16/11/2022,MRT Purple Line,"33,434",
328,328,16/11/2022,BTS Green Line,"599,976",
329,329,16/11/2022,BTS Gold Line,"4,196",
330,330,17/11/2022,SRT,"59,552",
331,331,17/11/2022,ARL,"51,569",
332,332,17/11/2022,Red Line,"18,021",
333,333,17/11/2022,MRT Blue Line,"247,415",
334,334,17/11/2022,MRT Purple Line,"32,473",
335,335,17/11/2022,BTS Green Line,"587,134",
336,336,17/11/2022,BTS Gold Line,"4,234",
337,337,18/11/2022,SRT,"66,939",
338,338,18/11/2022,ARL,"52,049",
339,339,18/11/2022,Red Line,"16,113",
340,340,18/11/2022,MRT Blue Line,"276,825",
341,341,18/11/2022,MRT Purple Line,"31,225",
342,342,18/11/2022,BTS Green Line,"588,580",
343,343,18/11/2022,BTS Gold Line,"5,640",
344,344,19/11/2022,SRT,"64,411",
345,345,19/11/2022,ARL,"43,815",
346,346,19/11/2022,Red Line,"13,501",
347,347,19/11/2022,MRT Blue Line,"226,937",
348,348,19/11/2022,MRT Purple Line,"24,556",
349,349,19/11/2022,BTS Green Line,"517,159",
350,350,19/11/2022,BTS Gold Line,"7,007",
351,351,20/11/2022,SRT,"68,726",
352,352,20/11/2022,ARL,"40,798",
353,353,20/11/2022,Red Line,"12,731",
354,354,20/11/2022,MRT Blue Line,"143,280",
355,355,20/11/2022,MRT Purple Line,"21,506",
356,356,20/11/2022,BTS Green Line,"457,109",
357,357,20/11/2022,BTS Gold Line,"5,106",
358,358,21/11/2022,SRT,"63,163",
359,359,21/11/2022,ARL,"62,182",
360,360,21/11/2022,Red Line,"19,528",
361,361,21/11/2022,MRT Blue Line,"349,789",
362,362,21/11/2022,MRT Purple Line,"44,483",
363,363,21/11/2022,BTS Green Line,"718,022",
364,364,21/11/2022,BTS Gold Line,"4,080",
365,365,22/11/2022,SRT,"57,063",
366,366,22/11/2022,ARL,"62,204",
367,367,22/11/2022,Red Line,"18,114",
368,368,22/11/2022,MRT Blue Line,"375,195",
369,369,22/11/2022,MRT Purple Line,"45,737",
370,370,22/11/2022,BTS Green Line,"741,981",
371,371,22/11/2022,BTS Gold Line,"4,202",
372,372,23/11/2022,SRT,"55,350",
373,373,23/11/2022,ARL,"61,978",
374,374,23/11/2022,Red Line,"18,649",
375,375,23/11/2022,MRT Blue Line,"381,270",
376,376,23/11/2022,MRT Purple Line,"45,655",
377,377,23/11/2022,BTS Green Line,"750,083",
378,378,23/11/2022,BTS Gold Line,"4,892",
379,379,24/11/2022,SRT,"58,169",
380,380,24/11/2022,ARL,"62,996",
381,381,24/11/2022,Red Line,"18,697",
382,382,24/11/2022,MRT Blue Line,"374,376",
383,383,24/11/2022,MRT Purple Line,"45,245",
384,384,24/11/2022,BTS Green Line,"759,201",
385,385,24/11/2022,BTS Gold Line,"4,892",
386,386,25/11/2022,SRT,"71,005",
387,387,25/11/2022,ARL,"66,956",
388,388,25/11/2022,Red Line,"21,713",
389,389,25/11/2022,MRT Blue Line,"388,708",
390,390,25/11/2022,MRT Purple Line,"47,327",
391,391,25/11/2022,BTS Green Line,"836,695",
392,392,25/11/2022,BTS Gold Line,"6,826",
393,393,26/11/2022,SRT,"61,970",
394,394,26/11/2022,ARL,"47,288",
395,395,26/11/2022,Red Line,"14,225",
396,396,26/11/2022,MRT Blue Line,"267,737",
397,397,26/11/2022,MRT Purple Line,"28,310",
398,398,26/11/2022,BTS Green Line,"613,418",
399,399,26/11/2022,BTS Gold Line,"6,935",
400,400,27/11/2022,SRT,"65,508",
401,401,27/11/2022,ARL,"41,840",
402,402,27/11/2022,Red Line,"13,661",
403,403,27/11/2022,MRT Blue Line,"215,171",
404,404,27/11/2022,MRT Purple Line,"22,041",
405,405,27/11/2022,BTS Green Line,"515,898",
406,406,27/11/2022,BTS Gold Line,"5,824",
407,407,28/11/2022,SRT,"63,103",
408,408,28/11/2022,ARL,"61,387",
409,409,28/11/2022,Red Line,"19,767",
410,410,28/11/2022,MRT Blue Line,"355,753",
411,411,28/11/2022,MRT Purple Line,"45,357",
412,412,28/11/2022,BTS Green Line,"752,373",
413,413,28/11/2022,BTS Gold Line,"4,570",
414,414,29/11/2022,SRT,"56,095",
415,415,29/11/2022,ARL,"61,927",
416,416,29/11/2022,Red Line,"18,942",
417,417,29/11/2022,MRT Blue Line,"377,720",
418,418,29/11/2022,MRT Purple Line,"45,915",
419,419,29/11/2022,BTS Green Line,"769,405",
420,420,29/11/2022,BTS Gold Line,"4,044",
421,421,30/11/2022,SRT,"56,662",
422,422,30/11/2022,ARL,"62,638",
423,423,30/11/2022,Red Line,"19,313",
424,424,30/11/2022,MRT Blue Line,"374,931",
425,425,30/11/2022,MRT Purple Line,"46,430",
426,426,30/11/2022,BTS Green Line,"777,171",
427,427,30/11/2022,BTS Gold Line,"4,088",
428,428,1/12/2022,SRT,"59,309",
429,429,1/12/2022,ARL,"62,771",
430,430,1/12/2022,Red Line,"19,262",
431,431,1/12/2022,MRT Blue Line,"378,269",
432,432,1/12/2022,MRT Purple Line,"47,134",
433,433,1/12/2022,BTS Green Line,"780,155",
434,434,1/12/2022,BTS Gold Line,"4,377",
435,435,2/12/2022,SRT,"73,910",
436,436,2/12/2022,ARL,"70,686",
437,437,2/12/2022,Red Line,"21,826",
438,438,2/12/2022,MRT Blue Line,"397,176",
439,439,2/12/2022,MRT Purple Line,"48,272",
440,440,2/12/2022,BTS Green Line,"825,244",
441,441,2/12/2022,BTS Gold Line,"5,321",
442,442,3/12/2022,SRT,"66,517",
443,443,3/12/2022,ARL,"50,372",
444,444,3/12/2022,Red Line,"13,734",
445,445,3/12/2022,MRT Blue Line,"274,185",
446,446,3/12/2022,MRT Purple Line,"29,108",
447,447,3/12/2022,BTS Green Line,"594,782",
